product_name,price,rating,rating_count,robot_type,height,battery_life,noise_level,features,smart_home_ecosystem,manufacturer,suction_power,dust_capacity,water_capacity,suitable_surfaces,max_threshold,room_area,battery_life_spec,charging_time,battery_type,battery_capacity,Model  Model name,Smart home features  Smart Home,Product dimensions  Weight,color
Dreame X40 Master,1299.0,4.0,7,Vacuum mopping robot,10.38,330.0,76.0,Area cleaning|Automatic detergent addition|Automatic dust emptying|Automatic mop pad separation|Automatic power adjustment|Base station|Camera function|Carpet detection|Configurable cleaning programmes|Extendable wiping pads|Obstacle detector|Programmable room boundary|Removable water tank|Self-cleaning mop pads,Amazon Alexa|Apple Siri|Google Assistant,Dreame,12000.0,0.3,0.08,Carpet|Hard floor,22.0,,330.0,270.0,Li-ion,6400.0,,Compatible,15.90 kg,Black
Medion X20,227.0,4.0,23,Vacuum mopping robot,9.3,150.0,68.0,,Amazon Alexa|Apple Home,Medion,3000.0,0.25,,Carpet|Laminate|Parquet flooring|Tiles,,,150.0,300.0,Li-ion,,,Compatible,3 kg,White
Roborock Q8 Max_420.0,420.0,4.8,23,Vacuum mopping robot,9.56,240.0,67.0,Obstacle detector,Amazon Alexa|Apple Siri|Google Home,Roborock,5500.0,0.77,0.35,Carpet|Hard floor,20.0,,240.0,360.0,Li-ion,5200.0,,Compatible,4 kg,Black
Roborock Q8 Max_349.0,349.0,4.8,23,Vacuum mopping robot,9.65,240.0,67.0,Base station|Staircase safe,Amazon Alexa,Roborock,5500.0,0.47,0.35,Carpet|Hard floor|Tiles,20.0,300.0,240.0,360.0,Li-ion,5200.0,,Compatible,4 kg,White
Xiaomi MI Robot Vacuum S12,221.0,4.6,81,Vacuum mopping robot,9.4,130.0,75.0,Programmable room boundary,Amazon Alexa|Google Assistant,Xiaomi,4000.0,0.3,0.3,Carpet|Laminate|Parquet flooring|Tiles,,,130.0,210.0,,3200.0,,Compatible,4.80 kg,White
Xiaomi S20_158.0,158.0,4.1,12,Vacuum mopping robot,9.8,120.0,60.0,Laser navigation|Obstacle detector,Amazon Alexa|Google Assistant|Google Home,Xiaomi,5000.0,0.4,0.27,Hard floor,,,120.0,,,3200.0,,Compatible,3.50 kg,White
Xiaomi S20_157.0,157.0,4.1,12,Robot vacuum,9.8,120.0,60.0,Base station,Amazon Alexa|Google Assistant|Google Home,Xiaomi,5000.0,0.4,0.27,Hard floor,,,120.0,,,3200.0,,Compatible,3.50 kg,Black
Xiaomi Robot Vacuum E5,114.0,4.4,8,Robot vacuum,7.0,110.0,,Base station,Amazon Alexa|Google Assistant|Google Home,Xiaomi,2000.0,0.4,0.09,,20.0,,110.0,,,2600.0,,Compatible,2.30 kg,Black
iRobot Roomba Combo 10 Max,826.0,4.3,15,Vacuum mopping robot,8.7,120.0,,Area cleaning|Base station|Camera function|Carpet detection|Configurable cleaning programmes|Independent emptying|Infrared sensor|Obstacle detector|Programmable room boundary|Removable water tank|Self-cleaning mop pads|Staircase safe,Amazon Alexa|Apple Siri|Google Assistant|IFTTT|Swisscom HOME App,iRobot,,0.31,0.25,Carpet|Laminate|Parquet flooring|Stone|Tiles,16.0,,120.0,,Li-ion,4200.0,,Compatible,5 kg,Black
TP-Link Tapo -RV30M,190.0,5.0,10,Vacuum mopping robot,8.3,,55.0,Base station,Google Home,TP-Link,5300.0,0.3,0.3,Carpet,,,,,,2600.0,,Compatible,,Black
Xiaomi X10,239.0,4.5,20,Vacuum mopping robot,9.88,180.0,50.0,Programmable room boundary,Amazon Alexa|Google Assistant,Xiaomi,4000.0,0.4,0.2,Carpet|Hard floor|Parquet flooring,19.0,100.0,180.0,360.0,Lithium,5200.0,,Compatible,3.30 kg,White
Roborock Q5 Pro+,328.95,4.0,7,Vacuum mopping robot,9.65,240.0,67.0,Obstacle detector|Programmable cleaning schedules,Amazon Alexa,Roborock,5500.0,0.77,0.18,Carpet|Laminate|Parquet flooring|Tiles,20.0,350.0,240.0,360.0,Li-ion,5200.0,,Compatible,7.50 kg,Black
Ecovacs T30S Combo Complete,905.0,4.9,8,Robot vacuum,10.4,270.0,65.0,Laser navigation,Amazon Alexa|Google Assistant,Ecovacs,11000.0,0.28,0.06,Carpet,20.0,,270.0,300.0,Li-ion,5200.0,,Compatible,4.10 kg,Black
Medion Saugroboter S35,129.0,5.0,1,Robot vacuum,7.4,120.0,72.0,Base station|Carpet detection|Obstacle detector,,Medion,4000.0,0.55,,Carpet|Hard floor,,,120.0,300.0,Li-ion,,,Compatible,2.60 kg,White
Ecovacs T30 Pro,681.0,4.3,15,Robot vacuum,10.4,290.0,65.0,Automatic power adjustment|Carpet detection,Amazon Alexa|Google Assistant,Ecovacs,11000.0,0.3,0.06,Carpet|Laminate|Parquet flooring|Tiles,20.0,293.0,290.0,270.0,Li-ion,5200.0,,Compatible,4.10 kg,"Silver, White|Silver"
Dreame L50 Pro Ultra,1199.0,5.0,2,Vacuum mopping robot,8.95,200.0,70.0,Area cleaning|Automatic detergent addition|Automatic dust emptying|Automatic water refill|Base station|Camera function|Carpet detection|Configurable cleaning programmes|Extendable side brushes|Extendable wiping pads|Independent emptying|Laser navigation|Obstacle detector|Programmable cleaning schedules|Self-cleaning mop pads|Staircase safe,Amazon Alexa|Apple Siri|Google Assistant,Dreame,19500.0,0.3,0.08,Carpet|Hard floor|Hard surfaces|Laminate|Parquet flooring|Tiles,40.0,,200.0,270.0,Li-ion,6400.0,,Compatible,13.90 kg,White
Mova M1,126.0,4.3,12,Vacuum mopping robot,7.6,150.0,60.0,,Amazon Alexa|Apple Siri|Google Assistant,Mova,4500.0,0.3,0.22,Carpet|Hard floor,,,150.0,240.0,Li-ion,2600.0,,Compatible,2.50 kg,White
Xiaomi S20+,2539.5,4.8,8,Vacuum mopping robot,9.7,170.0,,Base station,Amazon Alexa|Google Home,Xiaomi,6000.0,0.45,0.29,,,,170.0,210.0,,5200.0,,Compatible,3.80 kg,White
Ecovacs DEEBOT N20 PLUS Robot Vacuum Cleaner 0 4 l Bagless White,277.0,4.0,4,Vacuum mopping robot,9.6,300.0,65.0,Automatic dust emptying,Amazon Alexa|Google Assistant,Ecovacs,8000.0,0.4,0.22,Universal,20.0,,300.0,330.0,Li-ion,5200.0,,Compatible,3.70 kg,White
iRobot Braava Jet m6_299.0,299.0,4.1,542,Mopping robot,8.6,60.0,55.0,Obstacle detector|Programmable cleaning schedules|Programmable room boundary|Staircase safe,Amazon Alexa|Apple Siri|Google Assistant|IFTTT|Swisscom HOME App,iRobot,,0.15,0.45,Stone,6.0,100.0,60.0,180.0,Li-ion,1775.0,Braava jet m6,Compatible,2.20 kg,"Silver, White"
iRobot Braava Jet m6_304.0,304.0,4.1,542,Mopping robot,12.9,90.0,,Programmable cleaning schedules|Programmable room boundary|Staircase safe,Amazon Alexa|Apple Siri|Google Assistant|IFTTT|Swisscom HOME App,iRobot,,,0.45,Laminate|Parquet flooring|Stone|Tiles,6.0,100.0,90.0,180.0,Li-ion,1775.0,Braava jet m6,Compatible,5 kg,"Black, Gold"
iRobot Roomba Plus 505 Combo + AutoWash Dock,699.0,,34,Robot vacuum,10.6,,,,Amazon Alexa|Apple Siri|Google Assistant|Matter,iRobot,7000.0,0.3,3.0,Carpet|Laminate|Parquet flooring|Stone|Tiles,20.0,,,,LiFePO4,5000.0,,Compatible,4.40 kg,White
Kärcher RCV 3,248.0,4.5,41,Vacuum mopping robot,9.4,120.0,67.0,,,Kärcher,2500.0,0.5,0.17,Universal,,85.0,120.0,229.8,Li-ion,3200.0,,Compatible,3.70 kg,White
Miele Scout RX3 Home Vision HD - SPQL,668.0,4.3,7,Robot vacuum,8.5,170.0,71.0,Camera function|Carpet detection|Programmable cleaning schedules|Programmable room boundary,Apple Siri,Miele,,0.4,0.4,Carpet|Hard floor|Laminate|Linoleum|Parquet flooring|Tiles,17.0,70.0,170.0,240.0,Li-ion,5200.0,,Compatible,3.20 kg,"Gold, Rose gold PearlFinish"
Roborock S8+,796.0,4.5,71,Vacuum mopping robot,9.5,180.0,67.0,Camera function|Carpet detection|Obstacle detector|Staircase safe,Amazon Alexa|Apple Siri|Google Assistant,Roborock,6000.0,0.4,0.3,Carpet|Hard floor,,300.0,180.0,360.0,Li-ion,5200.0,S8,Compatible,9.20 kg,White
Roborock S7 MaxV Ultra,708.36,4.8,418,Vacuum mopping robot,9.7,180.0,67.0,Base station|Camera function|Obstacle detector|Staircase safe,Google Assistant,Roborock,,0.4,0.2,Carpet|Hard floor|Tiles,20.0,300.0,180.0,240.0,Li-ion,5200.0,S7 Max Ultra,Compatible,4.65 kg,Black
Xiaomi Robot Vacuum X10+,520.0,4.3,66,Vacuum mopping robot,9.7,120.0,75.0,Base station|Camera function,Amazon Alexa|Google Home,Xiaomi,4000.0,0.35,2.0,Carpet|Hard floor,20.0,2.0,120.0,360.0,Li-ion,4800.0,,Compatible,3.80 kg,White
iRobot Roomba 105 Combo + AutoEmpty Dock,349.0,,66,Vacuum mopping robot,10.4,120.0,,,Amazon Alexa|Apple Siri|Google Assistant|IFTTT|Matter,iRobot,7000.0,0.24,0.25,Carpet|Laminate|Parquet flooring|Stone|Tiles,15.0,,120.0,,LiFePO4,3000.0,,Compatible,2.88 kg,White
Ecovacs Deebot T30S Pro,869.0,5.0,2,Vacuum mopping robot,10.4,180.0,78.0,Base station,,Ecovacs,11000.0,0.28,0.55,Carpet,20.0,,180.0,306.0,Li-ion,6400.0,,Compatible,4.10 kg,Black
iRobot Roomba 105 Combo,249.0,,2,Vacuum mopping robot,10.4,120.0,,,Amazon Alexa|Apple Siri|Google Assistant|IFTTT|Matter,iRobot,7000.0,0.4,0.2,Carpet|Laminate|Parquet flooring|Stone|Tiles,15.0,,120.0,,LiFePO4,3000.0,,Compatible,2.84 kg,White
Samsung Jet Bot Combo Steam+ (VR9600),949.0,5.0,3,Vacuum mopping robot,10.0,180.0,74.0,Area cleaning|Camera function|Removable water tank,Amazon Alexa|Google Assistant|Samsung Bixby,Samsung,6000.0,0.25,0.1,Fabric|Laminate,,,180.0,300.0,Li-ion,,Jet Bot+,Compatible,23 kg,"Black, Offwhite, White"
Xiaomi Robot Vacuum S20+,2459.5,5.0,3,Vacuum mopping robot,9.8,170.0,65.0,Obstacle detector,Amazon Alexa|Google Assistant|Google Home,Xiaomi,6000.0,0.45,0.29,,,,170.0,210.0,,5200.0,,Compatible,3.80 kg,Black
Roborock S5 Max,444.63,4.8,1509,Robot vacuum,9.6,150.0,69.0,Laser navigation|Obstacle detector|Programmable room boundary|Staircase safe,Amazon Alexa|Google Assistant,Roborock,2000.0,0.46,0.29,Carpet|Laminate|Parquet flooring|Stone|Tiles,20.0,200.0,150.0,300.0,Li-ion,5200.0,,Compatible,3.50 kg,Black
Ecovacs Deebot X8 Omni,1129.0,,1509,Vacuum mopping robot,9.8,128.0,65.0,Extendable side brushes|Infrared sensor,Amazon Alexa|Google Assistant,Ecovacs,18000.0,0.22,0.11,Carpet|Hard floor|Laminate|Linoleum|Parquet flooring|Tiles,20.0,120.0,128.0,250.0,Li-ion,5200.0,,Compatible,5.30 kg,Black
Xiaomi Robot Vacuum E12,169.0,4.1,30,Vacuum mopping robot,8.0,110.0,,Base station,Amazon Alexa|Google Assistant,Xiaomi,4000.0,0.4,0.2,Carpet|Laminate|Parquet flooring|Tiles,15.0,,110.0,210.0,Li-ion,2600.0,,Compatible,4.50 kg,"Black, White"
iRobot Roomba Combo j7 (c7158),399.0,4.1,27,Vacuum mopping robot,8.7,75.0,68.0,Base station|Camera function|Laser navigation|Obstacle detector|Programmable cleaning schedules|Programmable room boundary|Staircase safe,Amazon Alexa|Apple Siri|Google Assistant|IFTTT|Swisscom HOME App,iRobot,,1.7,0.21,Carpet|Hard floor|Laminate|Parquet flooring|Stone|Tiles|Tiles,16.0,90.0,75.0,180.0,Li-ion,4460.0,Roomba Combo j7,Compatible,3.40 kg,"Black, Silver"
Ecovacs T20 Omni,599.0,4.1,52,Vacuum mopping robot,10.3,260.0,69.0,Base station|Laser navigation|Obstacle detector|Programmable room boundary,Amazon Alexa|Google Assistant,Ecovacs,6000.0,0.3,4.0,Carpet|Hard floor|Laminate|Parquet flooring|Tiles,20.0,100.0,260.0,400.0,Li-ion,5200.0,,Compatible,4.40 kg,White
